"COLLECTION_ID","COLLECTION","INSTITUTION","GUID_PREFIX","RCNT","PORTAL_NAME"
"245","Bird specimens","Abilene Christian University","ACUNHC:Bird","158","acunhc_bird"
"246","Insect specimens","Abilene Christian University","ACUNHC:Ento","1268","acunhc_ento"
"250","Fish specimens","Abilene Christian University","ACUNHC:Fish","82","acunhc_fish"
"244","Amphibian and reptile specimens","Abilene Christian University","ACUNHC:Herp","227","acunhc_herp"
"249","Marine invertebrate specimens","Abilene Christian University","ACUNHC:Inv","1353","acunhc_inv"
"248","Mammal specimens","Abilene Christian University","ACUNHC:Mamm","2374","acunhc_mamm"
"247","Fossil specimens","Abilene Christian University","ACUNHC:Paleo","40","acunhc_paleo"
"220","Bird specimens","Alabama Museum of Natural History","ALMNH:Bird","1460","almnh_bird"
"216","History and Ethnology","Alabama Museum of Natural History","ALMNH:EH","1134","almnh_eh"
"215","Insect specimens","Alabama Museum of Natural History","ALMNH:Ento","15496","almnh_ento"
"257","Geology specimens","Alabama Museum of Natural History","ALMNH:Geo","22","almnh_geo"
"213","Invertebrate Zoology","Alabama Museum of Natural History","ALMNH:Inv","27109","almnh_inv"
"222","Mammal specimens","Alabama Museum of Natural History","ALMNH:Mamm","2374","almnh_mamm"
"256","Paleontology specimens","Alabama Museum of Natural History","ALMNH:Paleo","11486","almnh_paleo"
"403","Host observations","Academy of Natural Sciences of Drexel University","ANSP:Host","8781","ansp_host"
"383","Parasite specimens","Academy of Natural Sciences of Drexel University","ANSP:Para","9175","ansp_para"
"149","Bird specimens","Austin Peay State University","APSU:Bird","670","apsu_bird"
"150","Fish specimens","Austin Peay State University","APSU:Fish","6498","apsu_fish"
"148","Amphibian and reptile specimens","Austin Peay State University","APSU:Herp","19286","apsu_herp"
"151","Mammal specimens","Austin Peay State University","APSU:Mamm","3","apsu_mamm"
"305","Entity Records","Arctos Consortium","Arctos:Entity","322","arctos_entity"
"226","Bird specimens","Angelo State Natural History Collections","ASNHC:Bird","3615","asnhc_bird"
"227","Amphibian and reptile specimens","Angelo State Natural History Collections","ASNHC:Herp","15357","asnhc_herp"
"157","Mammal specimens","Angelo State Natural History Collections","ASNHC:Mamm","21709","asnhc_mamm"
"168","Bivalve specimens","Arkansas Center for Biodiversity Collections","ASUMZ:Bivalve","9042","asumz_bivalve"
"164","Insect specimens","Arkansas Center for Biodiversity Collections","ASUMZ:Ento","4600","asumz_ento"
"167","Fish specimens","Arkansas Center for Biodiversity Collections","ASUMZ:Fish","2987","asumz_fish"
"170","Aquatic macroinvertebrate specimens","Arkansas Center for Biodiversity Collections","ASUMZ:Invert","29017","asumz_invert"
"163","Mammal specimens","Arkansas Center for Biodiversity Collections","ASUMZ:Mamm","27982","asumz_mamm"
"421","Algae and microorganisms (Living)","Portuguese Blue Biobank","BIOAPT:CCMAR","693","bioapt_ccmar"
"422","Non-photosynthetic microorganisms (Cryopreserved)","Portuguese Blue Biobank","BIOAPT:CMCC","153","bioapt_cmcc"
"423","Sponges and Coral Specimens","Portuguese Blue Biobank","BIOAPT:DEEPBB","100","bioapt_deepbb"
